nome_curso,ano_perfil,modulo,disciplina,creditos,ch_aula,ch_relogio,pre_requisito,co_requisito,is_elective,available_periods
Análise e Desenvolvimento de Sistemas,2019.2,1,Empreendedorismo em Negócios de TIC,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,1,Iniciação à Informática,2,40,30,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,1,Introdução à Programação,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,1,Língua Inglesa Aplicada,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,1,Matemática Aplicada,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,1,Ética e Responsabilidade Socioambiental,2,40,30,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,2,Arquitetura de Computadores,2,40,30,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,2,Banco de Dados I,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,2,Engenharia de Software,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,2,Linguagem de Programação Orientada a Objetos,4,80,60,Introdução à Programação,,False,
Análise e Desenvolvimento de Sistemas,2019.2,2,Estatística Aplicada,4,80,60,Matemática Aplicada,,False,
Análise e Desenvolvimento de Sistemas,2019.2,2,Redes de Computadores,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,3,Algoritmos e Estruturas de Dados,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,3,Análise e Projeto de Sistemas,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,3,Banco de Dados II,4,80,60,Banco de Dados I,,False,
Análise e Desenvolvimento de Sistemas,2019.2,3,Desenvolvimento de Sistemas Web I,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,3,Inteligência Artificial,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,4,Desenvolvimento de Sistemas Web II,4,80,60,Desenvolvimento de Sistemas Web I,,False,
Análise e Desenvolvimento de Sistemas,2019.2,4,Metodologia Científica Aplicada,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,4,Sistemas Distribuídos,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,4,Sistemas Operacionais,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,4,Aprendizagem de Máquina,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,5,Projeto de Desenvolvimento de Sistemas Web,2,40,30,,Desenvolvimento de Sistemas Web II,False,
Análise e Desenvolvimento de Sistemas,2019.2,5,Introdução ao Trabalho de Conclusão de Curso,2,40,30,,Metodologia Científica Aplicada,False,
Análise e Desenvolvimento de Sistemas,2019.2,5,Teste de Software,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,5,Mineração de Dados,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,6,Gerenciamento de Projetos,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,6,Programação para Dispositivos Móveis,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,6,Metodologia da Pesquisa,3,60,45,,Introdução ao Trabalho de Conclusão de Curso,False,
Análise e Desenvolvimento de Sistemas,2019.2,6,Segurança da Informação,4,80,60,,,False,
Análise e Desenvolvimento de Sistemas,2019.2,0,Tópicos Especiais em Sistemas Operacionais,4,80,60,,,True,5-6
Análise e Desenvolvimento de Sistemas,2019.2,0,Tópicos Especiais em Sistemas Embarcados,4,80,60,,,True,5-6
Análise e Desenvolvimento de Sistemas,2019.2,0,Tópico Especiais em Inteligência Artificial,4,80,60,,,True,5-6
Análise e Desenvolvimento de Sistemas,2019.2,0,Tópicos Especiais em Eletrônica,4,80,60,,,True,5-6
Análise e Desenvolvimento de Sistemas,2019.2,0,Tópicos Especiais em Engenharia de Software,4,80,60,,,True,5-6
Análise e Desenvolvimento de Sistemas,2019.2,0,Tópicos Especiais em Ciência dos Dados,4,80,60,,,True,5-6
Análise e Desenvolvimento de Sistemas,2019.2,0,Tópicos Especiais em Banco de Dados,4,80,60,,,True,5-6
Análise e Desenvolvimento de Sistemas,2019.2,0,Tópicos Especiais em Redes de Computadores,4,80,60,,,True,5-6
Análise e Desenvolvimento de Sistemas,2019.2,0,Processo Ágeis em Desenvolvimento de Software,4,80,60,,,True,5-6
Análise e Desenvolvimento de Sistemas,2019.2,0,Programação Funcional,4,80,60,,,True,5-6
Análise e Desenvolvimento de Sistemas,2019.2,0,Desenvolvimento de Jogos,4,80,60,,,True,5-6
Análise e Desenvolvimento de Sistemas,2019.2,0,Libras,4,80,60,,,True,5-6
Análise e Desenvolvimento de Sistemas,2019.2,0,Língua Portuguesa,4,80,60,,,True,5-6
Análise e Desenvolvimento de Sistemas,2019.2,0,Ergonomia de Software,4,80,60,,,True,5-6
